Date,USD/GBP Close
01/05/2000,1.5526
02/05/2000,1.5592
03/05/2000,1.562
04/05/2000,1.5402
05/05/2000,1.5271
08/05/2000,1.5322
09/05/2000,1.5331
10/05/2000,1.5117
11/05/2000,1.5025
12/05/2000,1.514
15/05/2000,1.5069
16/05/2000,1.4951
17/05/2000,1.4927
18/05/2000,1.4818
19/05/2000,1.4849
22/05/2000,1.4921
23/05/2000,1.4764
24/05/2000,1.4764
25/05/2000,1.4707
26/05/2000,1.4853
29/05/2000,1.4918
30/05/2000,1.4963
31/05/2000,1.4977
01/06/2000,1.49
02/06/2000,1.5056
05/06/2000,1.5194
06/06/2000,1.5292
07/06/2000,1.5219
08/06/2000,1.5118
09/06/2000,1.5092
12/06/2000,1.5121
13/06/2000,1.5089
14/06/2000,1.5002
15/06/2000,1.5125
16/06/2000,1.515
19/06/2000,1.5132
20/06/2000,1.5188
21/06/2000,1.4989
22/06/2000,1.5144
23/06/2000,1.5037
26/06/2000,1.499
27/06/2000,1.5066
28/06/2000,1.5112
29/06/2000,1.5192
30/06/2000,1.5165
03/07/2000,1.5133
04/07/2000,1.5155
05/07/2000,1.5091
06/07/2000,1.5072
07/07/2000,1.5128
10/07/2000,1.5117
11/07/2000,1.5162
12/07/2000,1.5066
13/07/2000,1.5018
14/07/2000,1.4981
17/07/2000,1.4945
18/07/2000,1.4975
19/07/2000,1.4968
20/07/2000,1.5129
21/07/2000,1.519
24/07/2000,1.5154
25/07/2000,1.517
26/07/2000,1.5152
27/07/2000,1.5135
28/07/2000,1.5052
31/07/2000,1.4996
01/08/2000,1.492
02/08/2000,1.4921
03/08/2000,1.4947
04/08/2000,1.5025
07/08/2000,1.511
08/08/2000,1.5046
09/08/2000,1.5012
10/08/2000,1.497
11/08/2000,1.5029
14/08/2000,1.5039
15/08/2000,1.5137
16/08/2000,1.5009
17/08/2000,1.4996
18/08/2000,1.4894
21/08/2000,1.4874
22/08/2000,1.4841
23/08/2000,1.4867
24/08/2000,1.482
25/08/2000,1.4712
28/08/2000,1.4707
29/08/2000,1.4565
30/08/2000,1.4585
31/08/2000,1.4506
01/09/2000,1.4606
04/09/2000,1.4585
05/09/2000,1.4539
06/09/2000,1.4389
07/09/2000,1.4382
08/09/2000,1.4208
11/09/2000,1.4084
12/09/2000,1.4067
13/09/2000,1.4091
14/09/2000,1.4065
15/09/2000,1.3992
18/09/2000,1.4058
19/09/2000,1.41
20/09/2000,1.4096
21/09/2000,1.4362
22/09/2000,1.4588
25/09/2000,1.4504
26/09/2000,1.4624
27/09/2000,1.4636
28/09/2000,1.4635
29/09/2000,1.4651
02/10/2000,1.4688
03/10/2000,1.4574
04/10/2000,1.4596
05/10/2000,1.4465
06/10/2000,1.4445
09/10/2000,1.447
10/10/2000,1.453
11/10/2000,1.4606
12/10/2000,1.4705
13/10/2000,1.4521
16/10/2000,1.4473
17/10/2000,1.4494
18/10/2000,1.443
19/10/2000,1.4452
20/10/2000,1.45
23/10/2000,1.4528
24/10/2000,1.45
25/10/2000,1.4352
26/10/2000,1.4343
27/10/2000,1.4537
30/10/2000,1.4521
31/10/2000,1.4492
01/11/2000,1.4494
02/11/2000,1.4465
03/11/2000,1.4505
06/11/2000,1.4291
07/11/2000,1.4345
08/11/2000,1.4228
09/11/2000,1.432
10/11/2000,1.4275
13/11/2000,1.4393
14/11/2000,1.4295
15/11/2000,1.4265
16/11/2000,1.4236
17/11/2000,1.423
20/11/2000,1.4231
21/11/2000,1.4175
22/11/2000,1.4105
23/11/2000,1.3985
24/11/2000,1.4
27/11/2000,1.4185
28/11/2000,1.4183
29/11/2000,1.4235
30/11/2000,1.425
01/12/2000,1.438
04/12/2000,1.4536
05/12/2000,1.4343
06/12/2000,1.4421
07/12/2000,1.443
08/12/2000,1.4454
11/12/2000,1.4574
12/12/2000,1.4498
13/12/2000,1.4541
14/12/2000,1.4714
15/12/2000,1.4752
18/12/2000,1.4733
19/12/2000,1.4673
20/12/2000,1.4773
21/12/2000,1.4722
22/12/2000,1.4769
25/12/2000,1.4769
26/12/2000,1.4841
27/12/2000,1.4942
28/12/2000,1.4924
29/12/2000,1.4929
01/01/2001,1.629
02/01/2001,1.4989
03/01/2001,1.4914
04/01/2001,1.5005
05/01/2001,1.503
08/01/2001,1.4978
09/01/2001,1.491
10/01/2001,1.49
11/01/2001,1.495
12/01/2001,1.4788
15/01/2001,1.4775
16/01/2001,1.4704
17/01/2001,1.475
18/01/2001,1.473
19/01/2001,1.4642
22/01/2001,1.4651
23/01/2001,1.4699
24/01/2001,1.459
25/01/2001,1.4602
26/01/2001,1.4597
29/01/2001,1.4591
30/01/2001,1.4627
31/01/2001,1.464
01/02/2001,1.4791
02/02/2001,1.4668
05/02/2001,1.4755
06/02/2001,1.4587
07/02/2001,1.4555
08/02/2001,1.4443
09/02/2001,1.4467
12/02/2001,1.4518
13/02/2001,1.4524
14/02/2001,1.4572
15/02/2001,1.4488
16/02/2001,1.4498
19/02/2001,1.445
20/02/2001,1.4464
21/02/2001,1.4427
22/02/2001,1.4452
23/02/2001,1.4541
26/02/2001,1.4444
27/02/2001,1.4435
28/02/2001,1.4459
01/03/2001,1.4572
02/03/2001,1.4702
05/03/2001,1.4676
06/03/2001,1.4672
07/03/2001,1.4608
08/03/2001,1.4692
09/03/2001,1.4673
12/03/2001,1.4634
13/03/2001,1.4492
14/03/2001,1.4455
15/03/2001,1.4391
16/03/2001,1.4281
19/03/2001,1.4323
20/03/2001,1.4327
21/03/2001,1.4306
22/03/2001,1.4204
23/03/2001,1.4265
26/03/2001,1.4348
27/03/2001,1.4323
28/03/2001,1.4367
29/03/2001,1.437
30/03/2001,1.4174
02/04/2001,1.4168
03/04/2001,1.4329
04/04/2001,1.4341
05/04/2001,1.428
06/04/2001,1.4372
09/04/2001,1.4463
10/04/2001,1.4337
11/04/2001,1.4365
12/04/2001,1.439
13/04/2001,1.438
16/04/2001,1.4347
17/04/2001,1.4297
18/04/2001,1.4269
19/04/2001,1.444
20/04/2001,1.442
23/04/2001,1.4395
24/04/2001,1.436
25/04/2001,1.4402
26/04/2001,1.4411
27/04/2001,1.4334
30/04/2001,1.4308
01/05/2001,1.4343
02/05/2001,1.4329
03/05/2001,1.4355
04/05/2001,1.4385
07/05/2001,1.4385
08/05/2001,1.426
09/05/2001,1.4216
10/05/2001,1.4233
11/05/2001,1.4201
14/05/2001,1.4196
15/05/2001,1.424
16/05/2001,1.4307
17/05/2001,1.431
18/05/2001,1.4395
21/05/2001,1.4391
22/05/2001,1.4271
23/05/2001,1.4185
24/05/2001,1.4087
25/05/2001,1.422
28/05/2001,1.421
29/05/2001,1.4227
30/05/2001,1.4272
31/05/2001,1.4251
01/06/2001,1.418
04/06/2001,1.4146
05/06/2001,1.411
06/06/2001,1.3911
07/06/2001,1.3902
08/06/2001,1.3813
11/06/2001,1.3745
12/06/2001,1.3733
13/06/2001,1.3907
14/06/2001,1.4019
15/06/2001,1.4045
18/06/2001,1.4045
19/06/2001,1.4001
20/06/2001,1.3989
21/06/2001,1.4167
22/06/2001,1.4116
25/06/2001,1.4139
26/06/2001,1.4153
27/06/2001,1.4165
28/06/2001,1.4086
29/06/2001,1.4134
02/07/2001,1.4161
03/07/2001,1.4062
04/07/2001,1.407
05/07/2001,1.4004
06/07/2001,1.4123
09/07/2001,1.4083
10/07/2001,1.411
11/07/2001,1.4082
12/07/2001,1.4076
13/07/2001,1.402
16/07/2001,1.4011
17/07/2001,1.3994
18/07/2001,1.4173
19/07/2001,1.4281
20/07/2001,1.4311
23/07/2001,1.4191
24/07/2001,1.4236
25/07/2001,1.4276
26/07/2001,1.4284
27/07/2001,1.4243
30/07/2001,1.4269
31/07/2001,1.4255
01/08/2001,1.4344
02/08/2001,1.4316
03/08/2001,1.4289
06/08/2001,1.4201
07/08/2001,1.4171
08/08/2001,1.4163
09/08/2001,1.4261
10/08/2001,1.4239
13/08/2001,1.4219
14/08/2001,1.4285
15/08/2001,1.44
16/08/2001,1.4478
17/08/2001,1.4466
20/08/2001,1.4443
21/08/2001,1.4496
22/08/2001,1.449
23/08/2001,1.4476
24/08/2001,1.4435
27/08/2001,1.4449
28/08/2001,1.451
29/08/2001,1.4524
30/08/2001,1.4589
31/08/2001,1.4545
03/09/2001,1.455
04/09/2001,1.4422
05/09/2001,1.4579
06/09/2001,1.4558
07/09/2001,1.4612
10/09/2001,1.4584
11/09/2001,1.476
12/09/2001,1.468
13/09/2001,1.4706
14/09/2001,1.4714
17/09/2001,1.4663
18/09/2001,1.4686
19/09/2001,1.4694
20/09/2001,1.4653
21/09/2001,1.4557
24/09/2001,1.4628
25/09/2001,1.4701
26/09/2001,1.4749
27/09/2001,1.4739
28/09/2001,1.4724
01/10/2001,1.4781
02/10/2001,1.4692
03/10/2001,1.4748
04/10/2001,1.4763
05/10/2001,1.4803
08/10/2001,1.475
09/10/2001,1.459
10/10/2001,1.451
11/10/2001,1.4446
12/10/2001,1.4504
15/10/2001,1.4484
16/10/2001,1.4477
17/10/2001,1.4472
18/10/2001,1.4456
19/10/2001,1.4352
22/10/2001,1.4247
23/10/2001,1.425
24/10/2001,1.4282
25/10/2001,1.4289
26/10/2001,1.4373
29/10/2001,1.4525
30/10/2001,1.4529
31/10/2001,1.4552
01/11/2001,1.4623
02/11/2001,1.4615
05/11/2001,1.4596
06/11/2001,1.4603
07/11/2001,1.4624
08/11/2001,1.4537
09/11/2001,1.4571
12/11/2001,1.4575
13/11/2001,1.4432
14/11/2001,1.4415
15/11/2001,1.4322
16/11/2001,1.4281
19/11/2001,1.4135
20/11/2001,1.4193
21/11/2001,1.4153
22/11/2001,1.4125
23/11/2001,1.4107
26/11/2001,1.4114
27/11/2001,1.4145
28/11/2001,1.4252
29/11/2001,1.427
30/11/2001,1.4239
03/12/2001,1.4253
04/12/2001,1.4213
05/12/2001,1.4155
06/12/2001,1.4282
07/12/2001,1.4332
10/12/2001,1.4333
11/12/2001,1.4375
12/12/2001,1.4469
13/12/2001,1.4421
14/12/2001,1.4546
17/12/2001,1.4596
18/12/2001,1.4566
19/12/2001,1.45
20/12/2001,1.4482
21/12/2001,1.4375
24/12/2001,1.4429
25/12/2001,1.4445
26/12/2001,1.4541
27/12/2001,1.4507
28/12/2001,1.4503
31/12/2001,1.455
01/01/2002,1.455
02/01/2002,1.4449
03/01/2002,1.4373
04/01/2002,1.4463
07/01/2002,1.439
08/01/2002,1.4392
09/01/2002,1.4371
10/01/2002,1.4414
11/01/2002,1.4471
14/01/2002,1.4496
15/01/2002,1.44
16/01/2002,1.4367
17/01/2002,1.4362
18/01/2002,1.4383
21/01/2002,1.4355
22/01/2002,1.4293
23/01/2002,1.4237
24/01/2002,1.4222
25/01/2002,1.4085
28/01/2002,1.4078
29/01/2002,1.4129
30/01/2002,1.4139
31/01/2002,1.4102
01/02/2002,1.4163
04/02/2002,1.422
05/02/2002,1.415
06/02/2002,1.4129
07/02/2002,1.4138
08/02/2002,1.4151
11/02/2002,1.422
12/02/2002,1.4338
13/02/2002,1.4287
14/02/2002,1.4307
15/02/2002,1.4317
18/02/2002,1.4285
19/02/2002,1.432
20/02/2002,1.4281
21/02/2002,1.4247
