"date","wk.deaths"
2020-03-13,5
2020-03-20,119
2020-03-27,624
2020-04-03,3841
2020-04-10,6928
2020-04-17,9553
2020-04-24,9085
2020-05-01,6743
2020-05-08,4465
2020-05-15,4259
2020-05-22,2918
2020-05-29,2033
2020-06-05,1729
2020-06-12,1229
2020-06-19,866
2020-06-26,670
2020-07-03,572
2020-07-10,406
2020-07-17,312
2020-07-24,243
2020-07-31,212
2020-08-07,176
2020-08-14,161
2020-08-21,160
2020-08-28,120
2020-09-04,92
2020-09-11,120
2020-09-18,170
2020-09-25,242
2020-10-02,352
2020-10-09,489
2020-10-16,779
2020-10-23,1143
2020-10-30,1615
2020-11-06,2252
2020-11-13,2866
2020-11-20,3068
2020-11-27,3405
2020-12-04,3195
2020-12-11,3070
2020-12-18,3277
2020-12-25,3201
2021-01-01,3424
2021-01-08,6594
2021-01-15,7771
2021-01-22,9056
2021-01-29,9013
2021-02-05,7823
2021-02-12,6115
2021-02-19,4448
2021-02-26,3199
2021-03-05,2280
2021-03-12,1637
2021-03-19,1046
2021-03-26,800
2021-04-02,450
2021-04-09,422
2021-04-16,402
2021-04-23,290
2021-04-30,232
2021-05-07,139
2021-05-14,164
2021-05-21,115
2021-05-28,106
2021-06-04,108
2021-06-11,93
2021-06-18,116
2021-06-25,118
2021-07-02,132
2021-07-09,217
2021-07-16,268
2021-07-23,392
2021-07-30,468
2021-08-06,611
2021-08-13,652
2021-08-20,654
2021-08-27,770
2021-09-03,781
2021-09-10,996
2021-09-17,1049
2021-09-24,1110
2021-10-01,974
2021-10-08,825
2021-10-15,892
2021-10-22,974
